,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
1,391668,7,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
2,391688,1,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
4,391698,2,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
5,391699,1,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
6,391700,1,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
7,391825,1,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
8,391826,1,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
10,391869,23,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
11,391870,1,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
12,391871,1,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
13,391873,1,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
14,391874,1,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
16,391884,6,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
18,391906,3,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
19,391906,31,11,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
20,391906,57,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
21,391909,1,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
22,391910,1,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
24,391912,5,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
25,392030,1,2,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
26,392030,43,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
27,392046,1,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
28,392052,1,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
29,392067,1,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
30,392071,1,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
31,392109,1,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
32,392109,103,2,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
33,392109,108,4,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
34,392109,113,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
35,392109,118,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
36,392112,1,2,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
37,392112,2,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v25/2,ONE,L1_SingleJet200/1.00
38,392293,1,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
39,392294,1,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
40,392294,5,1,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
41,392295,1,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
42,392295,48,2,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
43,392295,526,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
44,392295,537,4,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
45,392295,548,5,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
46,392295,558,6,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
47,392295,567,7,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
48,392295,576,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
49,392295,584,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
50,392296,1,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
51,392296,865,1,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
52,392301,1,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
53,392301,5,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
54,392301,57,1,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
55,392301,152,9,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
56,392358,1,3,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
57,392358,2,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
58,392358,41,1,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
59,392358,82,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
60,392359,1,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
61,392360,1,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
62,392361,1,8,2.0,HLT_BTagMu_AK8Jet300_Mu5_v26/2,ONE,L1_SingleJet200/1.00
