,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
226,320673,1.0,13.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
227,320674,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
228,320674,14.0,8.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
229,320688,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
230,320688,73.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
231,320688,261.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
232,320688,561.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
233,320712,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
234,320712,82.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
235,320757,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
236,320757,132.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
237,320804,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
238,320804,52.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
239,320804,249.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
240,320804,456.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
241,320804,465.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
242,320804,512.0,5.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
243,320804,820.0,6.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
244,320804,1239.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
245,320807,1.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
246,320809,1.0,7.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
247,320809,698.0,8.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
248,320821,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
249,320821,68.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_noalgo_v12/1,ONE,L1_SingleJet200/1.00
