,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
138,276282,1.0,0.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
139,276282,376.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
140,276282,971.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
141,276283,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
142,276283,778.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
143,276315,1.0,0.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
144,276315,126.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
145,276317,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
146,276318,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
147,276318,350.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
148,276355,1.0,0.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
149,276361,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
150,276361,464.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
151,276363,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
152,276363,503.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
153,276384,1.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
