Unnamed: 0,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
0,315257,1.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
1,315259,1.0,4.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
2,315264,1.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
3,315265,1.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
4,315267,1.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
5,315270,1.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
6,315322,1.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
7,315339,1.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
8,315357,1.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
9,315357,2.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
10,315361,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
11,315363,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
13,315366,1.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
14,315366,3.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
15,315420,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
16,315488,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
17,315488,8.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
18,315489,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
19,315490,1.0,2.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
20,315506,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
21,315510,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
22,315512,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
23,315543,1.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
24,315555,1.0,1.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
25,315555,5.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
26,315556,1.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
27,315557,1.0,3.0,1.0,HLT_BTagMu_AK8Jet300_Mu5_v11/1,ONE,L1_SingleJet200/1.00
