,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
0,273158,1,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
1,273158,17,6,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
2,273158,32,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
3,273302,1,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
5,273402,10,4,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
6,273402,46,3,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
7,273402,59,4,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
8,273402,79,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
9,273402,190,4,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
10,273402,255,3,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
11,273403,1,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
12,273404,1,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
13,273405,1,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
14,273406,1,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
15,273408,1,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
16,273408,4,6,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
17,273409,1,6,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
18,273410,1,6,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
19,273411,1,6,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
21,273425,8,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
22,273425,54,6,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
23,273425,61,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
24,273446,1,4,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
25,273447,1,4,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
26,273448,1,4,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
27,273448,379,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
29,273449,7,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
30,273450,1,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
32,273492,30,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
33,273492,41,11,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
34,273492,55,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
36,273493,4,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
37,273494,1,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
39,273502,15,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
40,273503,1,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
42,273554,63,4,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
43,273555,1,4,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
45,273725,7,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
46,273725,109,4,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
47,273725,1224,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
48,273728,1,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
49,273730,1,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
50,273730,287,6,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
51,273730,295,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
52,273730,1491,6,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
53,274094,1,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
55,274146,4,4,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
57,274157,20,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
59,274157,359,3,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
60,274157,484,4,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
61,274159,1,4,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
62,274160,1,4,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
63,274161,1,4,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
65,274172,7,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
66,274172,55,3,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
67,274198,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
68,274198,115,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
69,274199,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
70,274199,14,3,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
72,274200,5,3,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
73,274200,74,4,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
74,274240,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
75,274241,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
76,274241,442,3,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
77,274241,853,4,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
79,274244,15,4,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
80,274244,152,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
81,274250,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
82,274251,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
83,274251,273,3,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
84,274283,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
85,274284,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
86,274286,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
87,274314,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
88,274315,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
89,274316,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
90,274317,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
91,274319,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
92,274335,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
93,274336,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
94,274337,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
95,274338,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
96,274338,38,3,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
97,274339,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
99,274344,6,3,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
100,274344,35,4,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
101,274344,398,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
102,274345,1,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
103,274382,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
104,274387,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
105,274388,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
106,274388,756,3,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
107,274388,1755,4,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
108,274420,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
109,274421,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
110,274422,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
111,274422,363,3,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
112,274422,1159,4,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
113,274422,1734,5,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
114,274440,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
115,274441,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
116,274441,333,3,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
117,274442,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v2/1,ONE,L1_SingleJet200/1.00
118,274954,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
119,274954,31,5,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
120,274955,1,5,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
121,274968,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
122,274968,8,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
123,274968,270,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
124,274968,277,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
125,274968,314,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
126,274969,1,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
127,274969,115,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
128,274970,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
129,274971,1,3,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
130,274998,1,1,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
131,274998,61,2,1.0,HLT_BTagMu_Jet300_Mu5_v3/1,ONE,L1_SingleJet200/1.00
